Strategy Name,Short Name,Details,Life Cycle Stage,Evaluation Statement,Conventional Approach Replaced,Evaluation Points,Secondary Life Cycle Stages
Open source design,Open Source,Open source solutions can help propagate circular concepts to a larger audience (e.g. wikihouse / shared solutions),Resource Exchange,Have you utilized or contributed to open source design?,"Building design is proprietary and duplication of its approach, details, and construction is not encouraged",1,
Material passports,Material Passports,"Material passports are with a material throughout its entire life to ensure its continuous use and circulation.  The product may be in use as part of a building, in a storage facility ready for reuse, or with a manufacturer ready for upcycling / downcycling. It is the material’s passport that allows designers and builders to find and specify these materials in their projects.",Resource Exchange,Are you creating and or using material passports to keep the buildings materials in use?,Buildings do not make use of material passports to track the lifecycle of materials and components,5,"Intelligent Built Environment, End of Design Life"
Storage and distribution facilities,Storage and Distribution,"Physical marketplaces and services that enable the harvest, holding, and distribution of materials from building demolitions and other industries.",Resource Exchange,Are any of your project materials coming from a storage and distribution facility?,Materials are sourced directly from manufacturers,3,End of Design Life
Connecting salvage supply and demand,Connecting,Online platforms that utilized a digital inventory of materials to by-pass physical warehouses and connect supply and demand of salvaged materials directly from site to site.,Resource Exchange,,,,End of Design Life
Remanufacturing salvaged materials,Remanufacturing,When previously used material is modified into a new product. In this case these materials would otherwise go to a landfill or a recycling facility vs being reused. The remanufacturer then has the opportunity to give the new material a passport.,Resource Exchange,Are you capturing salvaged material to create new material for your project?,All salvage material is removed from site during demolition and either landfilled or recycled,4,
Capturing waste material from other industries,Capturing Waste,"Also called “Industrial Symbiosis,” captures waste from unrelated industries (e.g. agriculture) and turns them into useful building products (e.g. hempcrete, straw bale).",Resource Exchange,,,,
Brownfield remediation,Brownfield Remediation,"Revitalizing brownfields returns contaminated “waste” site into use, prevents development of greenfield sites, and can restore habitat.",Resource Exchange,Is your building site a brownfield?,Construction takes place on a site with minimal challenges posed by previous use or hazardous waste or on a plot of land rich in existing ecosystems and biodiversity,3,
Take-back services,Take-back Services,"Collection services offered by manufacturers / suppliers at the end of their product lifecycle for re-manufacturing and upcycling (e.g. ceiling tile, carpet). These services depend heavily on demo entities involving manufacturers at the end of design life.",Resource Exchange,Is there a plan in place for any of your building materials to be taken back by the manufacturer after the end of their design life?,There are no plans or strategies in place to guide decision making at the end of a building material's lifecycle,3,"Design and Deliver, End of Design Life"
Leased materials,Leased Materials,"Contracts can be made with the supplier or manufacturer to take back their product for reuse or replacement at the end of its use or lifespan. This differs from take-back services in that the materials are still owned by manufacturer, have a contract attached to them, and a plan for recovery that is upheld by supplier.",Resource Exchange,Does your project utilize leased material agreements?,"No materials will be returned to their original supplier or manufacturer at the end of their lifecycle, instead making use of conventional waste streams.",4,
Product as a service (Paas),Product as a Service,"Manufacturer retains ownership of the products (e.g. light fixtures) and instead sells their performance (e.g. light). This allows clients to purchase a desired product output vs the equipment itself, as a result creating an incentive for manufacturers to create long lasting / dependable equipment.",Resource Exchange,Does your project utilize Product-as-Service agreements?,"The building owner owns all materials and assemblies in their building, and does not pay a rental fee or usage fee for the functions of the building.",4,"Design and Deliver, Intelligent Built Environment, End of Design Life"
Optimizing material transportation,Material Transportation,Sourcing local materials and making sure they are efficiently loaded onto transport eliminates the waste of resources that occurs in transporting materials by minimizing the number of trips and miles to the construction site.,Resource Exchange,Is your project utilizing local materials where possible?,"A project will make no additional effort to specify local materials, instead encouraging the builders to source the most cost effective products and materials.",2,"Design and Deliver, Intelligent Built Environment, End of Design Life"
Demountable design,Demountable Design,"Demountability enables a material to be reused at the end of its design life. This becomes important during the design process as it has a large impact on how joints and details are designed. Mechanical fasteners enable various materials to be demounted, separated, and re-used which is often impossible with adhesives.",Design and Deliver,"Does your project avoid the use of adhesives/use mechanical fasteners to enable various materials to be demounted, separated, and reused?",Adhesives and permanent fasteners are used extensively throughout construction as they are an economical and effective solution to connecting elements of the building.,5,End of Design Life
